second,speaker,compound,pos,neu,neg,text
63,Speaker A,0.128,0.302,0.432,0.266,What are you stealing? Apart from my heart.
68,Speaker A,-0.4939,0.0,0.556,0.444,You're going to steal fruits?
69,Speaker A,-0.4939,0.0,0.556,0.444,You're going to steal fruits?
77,Speaker A,0.765,0.336,0.664,0.0,"Just like, you know, cuz I'm sure, you know, everyone was trying to walk. So, having nice shoes."
78,Speaker A,0.765,0.336,0.664,0.0,"Just like, you know, cuz I'm sure, you know, everyone was trying to walk. So, having nice shoes."
79,Speaker A,0.765,0.336,0.664,0.0,"Just like, you know, cuz I'm sure, you know, everyone was trying to walk. So, having nice shoes."
80,Speaker A,0.765,0.336,0.664,0.0,"Just like, you know, cuz I'm sure, you know, everyone was trying to walk. So, having nice shoes."
81,Speaker A,0.765,0.336,0.664,0.0,"Just like, you know, cuz I'm sure, you know, everyone was trying to walk. So, having nice shoes."
95,Speaker A,0.0,0.0,1.0,0.0,"Oh, no."
96,Speaker A,0.0,0.0,1.0,0.0,"Oh, no."
102,Speaker A,0.2263,1.0,0.0,0.0,Okay.
103,Speaker A,0.2263,1.0,0.0,0.0,Okay.
114,Speaker A,0.6249,0.672,0.328,0.0,"Oh, that's awesome."
116,Speaker A,0.2263,1.0,0.0,0.0,Okay.
117,Speaker A,0.2263,1.0,0.0,0.0,Okay.
134,Speaker A,0.765,0.688,0.312,0.0,Stuff like that. That's awesome.
135,Speaker A,0.765,0.688,0.312,0.0,Stuff like that. That's awesome.
136,Speaker A,0.765,0.688,0.312,0.0,Stuff like that. That's awesome.
143,Speaker A,0.0,0.0,1.0,0.0,is there something a project you're working on?
144,Speaker A,0.0,0.0,1.0,0.0,is there something a project you're working on?
145,Speaker A,0.0,0.0,1.0,0.0,is there something a project you're working on?
146,Speaker A,0.0,0.0,1.0,0.0,is there something a project you're working on?
